id,Track,Artist,Streams,URL
1,"God's Plan",Drake,54891573,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho","Post Malone",45142484,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"All The Stars (with SZA)","Kendrick Lamar",31352011,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
4,IDGAF,"Dua Lipa",23715748,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
5,Mine,Bazzi,23681960,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
6,"Pray For Me","The Weeknd",22044744,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
7,FRIENDS,Marshmello,21497890,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
8,"Look Alive","BlocBoy JB",21284619,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
9,rockstar,"Post Malone",20887230,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
10,Amorfoda,"Bad Bunny",20012260,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
11,"The Middle",Zedd,19916996,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,"These Days",Rudimental,18540453,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
13,Havana,"Camila Cabello",18387735,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
14,Dura,"Daddy Yankee",18341763,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
15,"Love Lies",Khalid,17673376,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
16,"River",Eminem,16117727,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
17,"Finesse","Bruno Mars",15273701,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
18,"Stir Fry",Migos,15232093,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
19,"Échame La Culpa","Luis Fonsi",14756683,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
20,"Never Be the Same","Camila Cabello",14606123,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
21,"I Fall Apart","Post Malone",14015460,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
22,"Meant to Be","Bebe Rexha",14008002,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
23,"Sick Boy","The Chainsmokers",13896650,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
24,"New Rules","Dua Lipa",13863483,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
25,Wolves,"Selena Gomez",13281331,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
