,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,43697135,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,43314851,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,SAD!,XXXTENTACION,32872517,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,"God's Plan",Drake,31958655,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
5,"In My Feelings",Drake,30123256,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
6,Emotionless,Drake,29680801,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
7,"I'm Upset",Drake,28743698,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
8,Survival,Drake,27089507,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
9,Elevate,Drake,26995718,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
10,"Nice For What",Drake,26909120,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
11,"Mob Ties",Drake,25933856,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
12,"8 Out Of 10",Drake,25910256,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
13,"Lucid Dreams","Juice WRLD",25866250,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
14,"I Like It","Cardi B",25437863,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"Girls Like You (feat. Cardi B)","Maroon 5",25384413,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,"One Kiss (with Dua Lipa)","Calvin Harris",25364299,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
17,"Better Now","Post Malone",23534781,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,"Talk Up",Drake,23481853,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
19,"Can’t Take A Joke",Drake,22191046,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
20,"Solo (feat. Demi Lovato)","Clean Bandit",22123858,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
21,Moonlight,XXXTENTACION,20842040,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
22,"Taste (feat. Offset)",Tyga,18984713,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"no tears left to cry","Ariana Grande",18535012,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
24,"Sandra’s Rose",Drake,18430122,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
25,"Back To You","Selena Gomez",18141297,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
26,changes,XXXTENTACION,17900795,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
27,"Te Boté - Remix","Nio Garcia",17719892,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
28,Youngblood,"5 Seconds of Summer",17601109,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
29,"Jackie Chan",Tiësto,17445103,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
30,"Jocelyn Flores",XXXTENTACION,17257921,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
31,"Summer Games",Drake,17119220,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
32,X,"Nicky Jam",15914883,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
33,"Ocean (feat. Khalid)","Martin Garrix",15871118,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
34,"Blue Tint",Drake,15573446,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
35,Jaded,Drake,15159136,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
36,Peak,Drake,15117184,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
37,"Is There More",Drake,14967758,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
38,Finesse,Drake,14514123,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
39,"That’s How You Feel",Drake,14357593,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
40,"After Dark",Drake,14263999,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
41,"Sin Pijama","Becky G",14196780,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
42,Nevermind,"Dennis Lloyd",13038595,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
43,"Psycho (feat. Ty Dolla $ign)","Post Malone",12800846,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
44,"Born To Be Yours",Kygo,12701709,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
45,Rise,"Jonas Blue",12452118,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
46,"Ratchet Happy Birthday",Drake,12370043,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
47,"Bed (feat. Ariana Grande)","Nicki Minaj",12252624,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
48,Flames,"David Guetta",12126911,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
49,"rockstar (feat. 21 Savage)","Post Malone",11925771,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
50,FRIENDS,Marshmello,11726493,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
51,2002,Anne-Marie,11389532,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
52,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,11229046,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
53,APESHIT,"The Carters",10959287,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
54,"March 14",Drake,10659186,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
55,"Final Fantasy",Drake,10460366,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
56,"Yes Indeed","Lil Baby",10368227,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
57,"lovely (with Khalid)","Billie Eilish",10304550,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,"Me Niego",Reik,10030321,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
59,"The Middle",Zedd,9741767,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
60,IDGAF,"Dua Lipa",9572783,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
61,"Praise The Lord (Da Shine)","A$AP Rocky",9566961,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
62,"Look Alive (feat. Drake)","BlocBoy JB",9546507,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
63,"Everybody Dies In Their Nightmares",XXXTENTACION,9467316,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
64,"La Cintura","Alvaro Soler",9340344,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
65,"All Mine","Kanye West",9206627,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
66,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,9069664,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
67,"Shape of You","Ed Sheeran",8901222,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
68,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",8851396,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
69,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,8812071,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
70,"La Player (Bandolera)","Zion & Lennox",8532826,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
71,Havana,"Camila Cabello",8498847,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
72,"Look At Me!",XXXTENTACION,8355500,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
73,"Mi Cama","Karol G",8242358,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
74,"Dura - Remix","Daddy Yankee",8207814,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
75,"This Is America","Childish Gambino",8092589,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
76,Body,"Loud Luxury",8047466,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
77,"No Es Justo","J Balvin",8017164,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
78,"All Girls Are The Same","Juice WRLD",7834761,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
79,"Start Again (feat. Logic)",OneRepublic,7820189,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
80,Mine,Bazzi,7548603,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
81,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",7530521,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
82,"Love Lies (with Normani)",Khalid,7473790,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
83,"In My Blood","Shawn Mendes",7465810,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
84,"New Rules","Dua Lipa",7392387,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
85,"Madura (feat. Bad Bunny)",Cosculluela,7201942,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
86,Clandestino,Shakira,7116722,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
87,OTW,Khalid,6917587,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
88,"Playinwitme (feat. Kehlani)",KYLE,6804584,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
89,"Síguelo Bailando",Ozuna,6797984,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
90,"New Light","John Mayer",6779839,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
91,Hope,XXXTENTACION,6766718,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
92,Perfect,"Ed Sheeran",6714434,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
