id,"Track",Artist,Streams,URL
1,"In My Feelings",Drake,45745903,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"No Brainer","DJ Khaled",25932843,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,25537529,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Girls Like You (feat. Cardi B)","Maroon 5",24790259,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"SICKO MODE","Travis Scott",24375908,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"Lucid Dreams","Juice WRLD",22462322,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"Eastside (with Halsey & Khalid)","benny blanco",22369433,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,"I Like It","Cardi B",21610874,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"In My Mind",Dynoro,19784225,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,"Taste (feat. Offset)",Tyga,19705660,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,SAD!,XXXTENTACION,19499335,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,"Solo (feat. Demi Lovato)","Clean Bandit",19450834,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
13,"Better Now","Post Malone",18370308,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
14,Rise,"Jonas Blue",18302502,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
15,STARGAZING,"Travis Scott",18048517,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
16,"Jackie Chan",Tiësto,17916066,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
17,"God is a woman","Ariana Grande",17493113,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
18,"One Kiss (with Dua Lipa)","Calvin Harris",16874559,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
19,Youngblood,"5 Seconds of Summer",16833475,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
20,"Te Boté - Remix","Nio Garcia",15714237,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
21,"Body (feat. brando)","Loud Luxury",15027980,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
22,Moonlight,XXXTENTACION,13920170,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
23,Nonstop,Drake,13504198,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
24,"Sin Pijama","Becky G",13454356,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
25,"Vaina Loca",Ozuna,13004105,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
