id,"Track",Artist,Streams,URL
1,"Better Now","Post Malone",29726175,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"One Kiss","Calvin Harris",28660371,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
3,"All Mine","Kanye West",27716117,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
4,"Nice For What",Drake,23791759,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,Yikes,"Kanye West",23601268,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
6,"Ghost Town","Kanye West",23175643,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
7,"I Like It","Cardi B",23024160,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,"no tears left to cry","Ariana Grande",22001983,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
9,"Back To You","Selena Gomez",20912096,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
10,"God's Plan",Drake,20825880,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
11,"Te Boté - Remix","Nio Garcia",19481163,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
12,"Lucid Dreams","Juice WRLD",19288712,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
13,X,"Nicky Jam",18861943,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
14,"This Is America","Childish Gambino",18242269,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
15,"Psycho","Post Malone",18005668,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
16,"Wouldn't Leave","Kanye West",17762451,https://open.spotify.com/track/3dG6tjetoR4GMmUGZUprLt
17,Youngblood,"5 Seconds of Summer",17167294,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
18,"I Thought About Killing You","Kanye West",16851806,https://open.spotify.com/track/6EuE9M1viu9gkdFSafia9o
19,FRIENDS,Marshmello,16606478,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
20,"Violent Crimes","Kanye West",16417107,https://open.spotify.com/track/2VYb3Fb5iK5Y8HGZ8oEEkp
21,"Solo","Clean Bandit",16362333,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
22,"Girls Like You (feat. Cardi B)","Maroon 5",16103275,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
23,"No Mistakes","Kanye West",15447339,https://open.spotify.com/track/1DdgqEZk4Hqfpl3drdXJun
24,"Yes Indeed","Lil Baby",14987143,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
25,"rockstar","Post Malone",14539492,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
