id,"Track",Artist,Streams,URL
1,"Taki Taki","DJ Snake",29542152,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,"I Love It","Kanye West",29529551,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,Happier,Marshmello,27018051,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
4,"Mona Lisa","Lil Wayne",26547867,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
5,"Falling Down","Lil Peep",25077096,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
6,"Don't Cry","Lil Wayne",21438140,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
7,"Eastside","benny blanco",21212602,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,"Promises","Calvin Harris",21033190,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
9,"In My Mind",Dynoro,20371326,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,"In My Feelings",Drake,19471596,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
11,"SICKO MODE","Travis Scott",17980100,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
12,"Lucid Dreams","Juice WRLD",17532875,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
13,"Let It Fly","Lil Wayne",16925770,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h
14,"Lucky You",Eminem,16622638,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
15,Better,Khalid,16506648,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
16,"Be Alright","Dean Lewis",16164750,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
17,"Girls Like You","Maroon 5",16003125,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,"Electricity","Silk City",15978272,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
19,Uproar,"Lil Wayne",15580003,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
20,SAD!,XXXTENTACION,15274368,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"FEFE",6ix9ine,14934970,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
22,BEBE,6ix9ine,14606701,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
23,Dedicate,"Lil Wayne",14479665,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc
24,"Vaina Loca",Ozuna,14307641,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
25,Moonlight,XXXTENTACION,13667690,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszLS
