,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",59975503,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",35130395,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,"MIA (feat. Drake)","Bad Bunny",26107615,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
4,Happier,Marshmello,23230853,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
5,"Without Me",Halsey,22733282,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,BAD!,XXXTENTACION,22370036,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",21878557,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
8,Shallow,"Lady Gaga",21400381,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
9,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,20648779,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
10,"SICKO MODE","Travis Scott",19886120,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
11,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",19622291,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
12,"Bohemian Rhapsody - Remastered 2011",Queen,18440196,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
13,"Mo Bamba","Sheck Wes",17176024,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
14,"when the party's over","Billie Eilish",16627623,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
15,"Sweet but Psycho","Ava Max",15707478,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
16,Better,Khalid,15480466,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
17,"Bad Liar","Imagine Dragons",15444402,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
18,"Falling Down - Bonus Track","Lil Peep",14842913,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
19,Natural,"Imagine Dragons",14639164,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
20,"Eastside (with Halsey & Khalid)","benny blanco",14395939,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
21,"In My Mind",Dynoro,14154037,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
